Team_Number_Id,TeamPoints,FieldGoals,X3PointShots,FreeThrows,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
3,110,0.514,0.583,0.769,7,42,18,6,6,16,24
3,104,0.482,0.286,0.87,14,45,23,10,5,14,21
3,104,0.473,0.429,0.781,8,37,17,9,4,19,25
3,99,0.438,0.188,0.9,7,41,19,5,2,12,22
3,87,0.393,0.053,0.941,12,43,15,7,2,9,24
3,83,0.414,0.391,0.615,11,35,18,10,5,12,19
3,118,0.478,0.29,0.724,10,49,26,7,6,20,25
3,94,0.463,0.333,0.9,10,38,17,2,6,18,17
3,87,0.374,0.333,1,13,44,24,5,5,11,14
3,99,0.493,0.333,0.75,4,40,25,10,7,24,19
3,84,0.372,0.143,0.75,7,34,16,9,0,10,25
3,98,0.438,0.353,0.7,21,49,22,7,5,14,20
3,95,0.411,0.474,0.667,9,54,20,2,2,10,10
3,75,0.375,0.167,0.632,9,51,16,4,2,17,21
3,88,0.444,0.211,0.632,10,33,25,6,2,12,18
3,80,0.33,0.214,0.792,15,44,16,9,5,11,25
3,88,0.444,0.25,0.647,13,47,25,16,5,17,15
3,114,0.583,0.696,0.7,4,43,29,4,4,13,24
3,91,0.39,0.286,0.719,11,37,25,9,2,17,26
3,89,0.432,0.333,0.455,14,43,20,3,8,13,16
3,91,0.474,0.375,0.667,4,37,23,8,8,16,26
3,110,0.526,0.4,0.759,3,37,29,9,4,15,18
3,102,0.473,0.261,0.714,12,39,21,10,3,9,19
3,109,0.494,0.333,0.714,13,43,19,9,3,15,10
3,85,0.364,0.28,0.815,5,35,15,2,4,15,20
3,107,0.45,0.381,0.692,14,40,20,12,3,9,18
3,96,0.434,0.429,0.857,10,46,21,9,5,10,17
3,100,0.569,0.35,0.611,4,45,26,7,5,22,16
3,84,0.395,0.292,0.692,10,38,18,9,6,11,23
3,88,0.393,0.12,0.826,7,52,20,5,7,14,21
3,81,0.405,0.214,0.692,11,50,18,3,6,17,18
3,88,0.452,0.188,0.704,9,42,21,8,3,17,19
3,93,0.42,0.29,1,9,46,25,6,2,13,23
3,99,0.464,0.238,0.889,11,41,18,7,4,16,18
3,92,0.48,0.385,0.833,6,36,19,5,1,18,25
3,102,0.457,0.333,0.774,8,39,18,12,4,10,19
3,90,0.439,0.235,0.778,11,40,17,6,0,10,20
3,103,0.468,0.25,0.8,10,43,22,7,6,14,24
3,84,0.375,0.19,0.56,15,40,17,11,3,12,14
3,73,0.387,0.333,0.625,8,29,17,10,9,17,17
3,102,0.448,0.375,0.833,9,35,26,6,5,8,20
3,122,0.485,0.211,0.769,14,50,19,7,4,7,20
3,102,0.494,0.444,0.444,10,45,21,4,0,16,27
3,109,0.494,0.474,0.87,10,39,24,7,1,8,17
3,92,0.5,0.273,0.682,10,47,23,1,10,14,19
3,77,0.338,0.222,0.677,13,38,17,8,4,15,20
3,97,0.5,0.36,0.632,8,38,25,3,8,15,17
3,86,0.432,0.25,0.765,14,46,14,7,5,20,24
3,114,0.472,0.476,0.833,13,46,29,7,2,11,20
3,110,0.467,0.19,0.87,14,57,21,7,9,10,17
3,96,0.424,0.333,0.733,8,37,13,6,6,12,16
3,98,0.447,0.235,0.9,12,44,17,8,4,16,21
3,104,0.519,0.435,0.609,12,48,20,5,4,14,21
3,110,0.494,0.476,0.75,11,38,20,7,1,13,12
3,91,0.398,0.188,0.75,12,38,15,6,1,9,24
3,100,0.351,0.364,0.828,18,57,21,5,1,20,29
3,88,0.5,0.533,0.364,7,30,21,9,2,14,16
3,91,0.417,0.375,0.652,12,41,19,5,5,12,12
3,98,0.438,0.353,0.718,14,44,15,8,2,21,24
3,94,0.44,0.118,0.692,7,45,20,9,5,16,16
3,122,0.578,0.385,0.765,13,43,21,8,2,14,15
3,92,0.45,0.25,0.714,8,32,23,7,5,11,19
3,129,0.43,0.44,0.765,16,53,31,9,7,15,25
3,123,0.613,0.5,0.806,3,35,21,4,4,8,18
3,91,0.36,0.059,0.867,16,48,15,7,5,11,13
3,91,0.429,0.214,0.909,5,46,28,6,8,9,18
3,106,0.465,0.391,0.895,10,46,21,6,1,15,18
3,107,0.483,0.286,0.714,6,43,29,11,6,8,9
3,111,0.5,0.5,0.786,6,41,25,5,3,7,23
3,100,0.506,0.563,0.75,7,37,24,8,7,10,17
3,114,0.523,0.313,0.739,17,41,21,10,1,8,18
3,99,0.488,0.435,0.647,12,39,22,7,2,21,15
3,106,0.451,0.429,0.783,12,46,25,6,5,6,11
3,111,0.471,0.269,0.88,14,47,27,7,4,12,20
3,117,0.506,0.6,0.652,12,44,29,10,1,6,20
3,73,0.325,0.167,0.727,16,49,17,9,5,21,20
3,86,0.368,0.25,0.864,12,42,12,2,3,10,14
3,101,0.488,0.375,0.609,7,40,25,8,5,12,12
5,108,0.406,0.286,0.69,15,50,27,8,9,10,20
5,69,0.361,0.286,0.722,5,44,17,10,4,20,16
5,93,0.471,0.4,0.724,8,38,20,7,2,12,16
5,91,0.463,0.286,0.846,6,34,23,6,1,12,15
5,96,0.427,0.278,0.724,13,49,23,4,9,12,24
5,122,0.495,0.286,0.741,11,51,31,6,7,19,30
5,92,0.443,0.214,0.704,12,39,15,5,0,11,18
5,100,0.467,0.438,0.852,6,38,16,5,3,13,16
5,103,0.429,0.438,0.947,14,46,21,5,3,7,15
5,87,0.381,0.412,0.571,10,41,14,5,2,12,13
5,80,0.4,0.455,0.462,7,35,22,1,3,11,17
5,86,0.43,0.357,0.583,12,41,18,6,6,5,21
5,100,0.462,0.35,0.6,10,45,22,4,7,7,26
5,93,0.468,0.333,0.75,5,33,18,9,1,11,19
5,92,0.413,0.1,0.8,5,33,21,6,4,5,17
5,97,0.436,0.333,0.667,10,47,29,3,5,6,20
5,101,0.437,0.316,0.826,8,44,27,4,8,13,14
5,75,0.33,0.217,0.75,13,38,20,3,4,12,16
5,95,0.4,0.133,0.913,7,42,17,5,3,5,21
5,103,0.477,0.222,0.833,10,41,19,2,7,7,20
5,96,0.417,0.214,0.793,7,44,18,5,3,10,14
5,107,0.418,0.353,0.704,13,49,16,8,11,14,29
5,87,0.392,0.364,0.63,9,34,16,3,4,6,19
5,88,0.458,0.313,0.5,5,37,22,4,5,10,14
5,106,0.465,0.417,0.727,8,35,22,6,3,6,16
5,109,0.439,0.417,0.765,17,45,25,10,3,14,17
5,104,0.483,0.409,0.688,15,49,21,8,3,5,14
5,110,0.538,0.421,0.667,6,44,23,6,6,12,21
5,108,0.439,0.381,0.778,11,43,21,6,5,12,21
5,75,0.287,0.208,0.769,15,52,12,8,2,15,20
5,94,0.419,0.333,0.778,9,41,18,2,8,10,19
5,94,0.367,0.28,0.808,9,48,20,13,9,17,20
5,83,0.382,0.167,0.846,7,41,15,6,9,16,17
5,87,0.368,0.214,0.654,15,50,20,5,6,14,24
5,98,0.449,0.25,0.75,16,53,16,4,4,14,15
5,104,0.487,0.316,0.957,12,48,22,2,10,15,22
5,98,0.43,0.286,0.769,9,43,18,9,4,10,18
